icb_code,testing_period,cv_number,ibes,lgbm_ex_fwd,lgbm_in_fwd,len,industry_group_name
101020,2016-03-31 00:00:00,all,0.022131519088229745,0.020120457323277673,0.02075821089531684,480.0,Tech Equip.
999999,2016-03-31 00:00:00,all,0.014447157543133811,0.012785738369173722,0.014088562879070019,3460.0,
651010,2014-06-30 00:00:00,all,0.011682631308660055,0.015060945835834557,0.015324234368846987,220.0,Electricity
502050,2014-06-30 00:00:00,all,0.009673365397184578,0.010418216051526262,0.010107587709875873,250.0,Ind. Services
302020,2014-06-30 00:00:00,all,0.02445612669012486,0.015040611986200639,0.016236299832544484,340.0,Finance Services
201030,2014-06-30 00:00:00,all,0.009724436350710864,0.01155569890084953,0.012105673529937768,420.0,Pharma-Biotech
552010,2014-06-30 00:00:00,all,0.033508194758586886,0.02512623829696462,0.026192042669853848,320.0,Chem
351020,2014-06-30 00:00:00,all,0.02558643038466781,0.01829203865759794,0.01722366041072035,280.0,REIT
502060,2014-06-30 00:00:00,all,0.007000618510133845,0.011521583675605731,0.011974394097542954,330.0,Ind. Transport
502030,2014-06-30 00:00:00,all,0.026526912312884277,0.02482508673021351,0.02504954363235112,220.0,Industrials
301010,2014-06-30 00:00:00,all,0.01130901456476838,0.013986174378879626,0.012493628190847142,1270.0,Banks
601010,2014-06-30 00:00:00,all,0.0679725535073258,0.06227284953321394,0.06106351130033222,1180.0,Energy
101010,2014-06-30 00:00:00,all,0.012099226686336131,0.01211891658353619,0.011910524069334212,290.0,Software and Comp Serv
501010,2014-06-30 00:00:00,all,0.022111880552459592,0.02164051034395609,0.021492428822016806,300.0,Construction
401010,2014-06-30 00:00:00,all,0.01811963977674592,0.01983084537147308,0.021145723221696642,240.0,Auto
101020,2014-06-30 00:00:00,all,0.021893898046370482,0.017154551790940612,0.017323158573346112,490.0,Tech Equip.
999999,2014-06-30 00:00:00,all,0.016826493855771684,0.01452380041703421,0.014952819419062811,3240.0,
651010,2014-09-30 00:00:00,all,0.0146055325441544,0.01307165305316658,0.013269273936408588,240.0,Electricity
502050,2014-09-30 00:00:00,all,0.010646018251984756,0.009423056009437316,0.009947579594037985,270.0,Ind. Services
302020,2014-09-30 00:00:00,all,0.026542381114349006,0.016159105118114026,0.018969108973452976,370.0,Finance Services
201030,2014-09-30 00:00:00,all,0.012869920753944754,0.01228177818355261,0.012742135587513385,410.0,Pharma-Biotech
552010,2014-09-30 00:00:00,all,0.027664021374545614,0.024318640719748184,0.024052858675815927,330.0,Chem
351020,2014-09-30 00:00:00,all,0.022158161803304457,0.01701267492419787,0.017058768302193186,280.0,REIT
502060,2014-09-30 00:00:00,all,0.009299936956100072,0.011138137130480098,0.011235403477623303,340.0,Ind. Transport
502030,2014-09-30 00:00:00,all,0.024058968938630878,0.0239935055180358,0.024996149860530593,220.0,Industrials
301010,2014-09-30 00:00:00,all,0.013834726446656662,0.014335256342366464,0.013808966997159592,1280.0,Banks
601010,2014-09-30 00:00:00,all,0.07341593300916306,0.06138440327953658,0.06331732081275093,810.0,Energy
101010,2014-09-30 00:00:00,all,0.011820997603079008,0.011291607093614464,0.01189406149295955,290.0,Software and Comp Serv
501010,2014-09-30 00:00:00,all,0.021717355880203494,0.01904114037360264,0.019393341040531815,310.0,Construction
